feature_id,title,url,page_content,content_size,wikidata_id
8880,Che: Part Two,,,,Q1068674
8881,Che: Part One,,,,Q860425
12622,Violent Cop,,,,Q1156893
13285,Barbie Fairytopia: Mermaidia,https://en.wikipedia.org/wiki/Barbie:_Mermaidia,,,Q2545667
13741,2 Alone in Paris,,,,Q3480756
13754,Tekkonkinkreet,,,,Q1200944
14092,Ghost in the Shell 2.0,,,,Q23034444
14830,Doctor Strange,,,,Q2320247
15362,Mesrine: Public Enemy #1,,,,Q2623856
15384,Red Cliff II,,,,Q125993390
15587,Safari,,,,Q390179
16962,Barbie Fairytopia: Magic of the Rainbow,,,,Q3634768
18198,Barbie Mariposa,https://en.wikipedia.org/wiki/Barbie:_Mariposa,,,Q2545652
20106,Mais qui a tué Pamela Rose ?,,,,Q3278522
30675,Planet Hulk,https://en.wikipedia.org/wiki/Planet_Hulk_(film),,,Q2662947
31359,Would I Lie to You? 2,,,,Q3213978
34942,Balto III: Wings of Change,https://en.wikipedia.org/wiki/Balto_III:_Wings_of_Change,,,Q1742152
36897,Pokémon: Mewtwo Returns,https://en.wikipedia.org/wiki/Pok%C3%A9mon:_Mewtwo_Returns,,,Q2477539
45535,Fatal,,,,Q3067157
50472,Anplagghed al cinema,,,,Q3618290
75198,Welcome Aboard,,,,Q2902027
76122,Marvel One-Shot: The Consultant,,,,Q25412892
76535,Marvel One-Shot: A Funny Thing Happened on the Way to Thor's Hammer,,,,Q25404039
77499,Barbie: A Perfect Christmas,,,,Q3634757
86868,Would I Lie to You? 3,,,,Q3213979
92321,Hotarubi no Mori e,,,,Q89913709
94562,Turkish for Beginners,,,,Q2464631
113160,My First Time,,,,Q3273565
118412,Berserk: The Golden Age Arc II - The Battle for Doldrey,https://en.wikipedia.org/wiki/Berserk_Golden_Age_Arc_II:_The_Battle_for_Doldrey,,,Q52228601
123025,"Batman: The Dark Knight Returns, Part 1",,,,Q30501762
133919,Scenes from a Marriage,,,,Q98098574
142061,"Batman: The Dark Knight Returns, Part 2",,,,Q17996919
144288,Berserk: The Golden Age Arc III - The Advent,https://en.wikipedia.org/wiki/Berserk_Golden_Age_Arc_III:_Descent,,,Q52229064
168903,Barbie in the Pink Shoes,,,,Q7473496
196254,Barbie Mariposa & the Fairy Princess,,,,Q15139150
203665,Paris or Perish,,,,Q3365358
246355,Saw,https://en.wikipedia.org/wiki/Saw_(2003_film),,,Q612036
249397,Nymphomaniac: Vol. II,,,,Q21468405
255718,Barbie: The Pearl Princess,,,,Q16531381
258216,Nymphomaniac: Vol. I,,,,Q21468403
276624,I Am a Hero,,,,Q28082055
306523,Ogni maledetto Natale,,,,Q18340938
337556,Emerald Green,,,,Q22000661
359983,The Lion Guard: Return of the Roar,https://en.wikipedia.org/wiki/The_Lion_Guard:_Return_of_Roar,,,Q21577191
372754,Dou kyu sei – Classmates,,,,Q118978806
377897,Barbie: Spy Squad,,,,Q23055501
382593,Divorce French Style,,,,Q27877562
382598,Full Speed,,,,Q20971320
420950,Alone,,,,Q22944613
437425,You Choose!,,,,Q30727491
437739,The Mansion,,,,Q30731435
438347,Wedding Unplanned,,,,Q28497075
441829,Team Thor: Part 2,https://en.wikipedia.org/wiki/Team_Thor:_Part_2,,,Q60737518
449664,Escape Room,,,,Q39843662
450179,Problemos,,,,Q29787782
451500,Christmas & Co.,,,,Q30739475
461992,Hostile,,,,Q48751535
462148,Love Addict,,,,Q48760637
463858,The Freshmen,,,,Q55599169
479226,The Purity of Vengeance,,,,Q47457769
487004,The Full House,,,,Q51077203
490445,Dumped,,,,Q47485930
490448,Our Happy Holiday,,,,Q60848861
499631,Fabrizio De André: Principe libero,,,,Q48076011
516043,Here Come the Teachers,,,,Q55831875
516850,The Mermaid: Lake of the Dead,,,,Q48600232
517764,The Farm,,,,Q125774073
520725,The Lost Prince,,,,Q60833914
520736,Loro 2,,,,Q58234445
531735,Ibiza,,,,Q55597258
